ID	Bacteria	Host
AgProtect_1720	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_172	Francisella_tularensis	Homo_sapiens;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Equus_ferus_caballus;Canis_familiaris
AgProtect_1719	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1718	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1717	Borreliella_burgdorferi	Homo_sapiens;Canis_familiaris;Felis_silvestris_catus;Equus_ferus_caballus;Bos_taurus
AgProtect_1716	Brucella_melitensis	Homo_sapiens;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1715	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1714	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1713	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1712	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1711	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1710	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_171	Francisella_tularensis	Homo_sapiens;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Equus_ferus_caballus;Canis_familiaris
AgProtect_1709	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1708	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1707	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1706	Chlamydia_abortus	Homo_sapiens;Sus_scrofa;Equus_ferus_caballus;Felis_silvestris_catus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1705	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1705	Streptococcus_pyogenes	Homo_sapiens
AgProtect_1704	Brucella_melitensis	Homo_sapiens;Ovis_orientalis_aries;Capra_aegagrus_hircus
